,Business Name,Source,Street Address,City,State,Zip,Title.1,Document URL,Key Nature,Docket Num,Court Juris,Filed Date
0,"Rich Cortez & Sons, Inc.",https://businesssearch.sos.ca.gov/,3155 GOLDEN CREST COMMOM UNIT 2,LIVERMORE,CA,94551,"Commercial Collection Service, Inc. v. Rich Cortez & Sons, Inc.",https://www.westlaw.com/Document/I24748422DD1811EAAF3CEDF8C55E6C34/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad6404100000173e77943a1a4b25115%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D69%26alertGuid%3Di0ad606680000016d19c6dc1be05dfd3e&listSource=Alert&list=DocketAlertNext&rank=69&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606680000016d19c6dc1be05dfd3e,"Banking/Finance, Collections",MCV-253150,CA Sonoma Super. Ct.,2020-08-11
1,"Apparent, Inc",,,,,,"Altest Corporation v. Apparent, Inc",https://www.westlaw.com/Document/I13369E8EDD2B11EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad6404100000173e77943a1a4b25115%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D76%26alertGuid%3Di0ad606680000016d19c6dc1be05dfd3e&listSource=Alert&list=DocketAlertNext&rank=76&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606680000016d19c6dc1be05dfd3e,"Banking/Finance, Collections",20CV369202,CA Santa Clara Super. CT.,2020-08-07
2,GERMAN PALACIOS,https://www.corporationwiki.com/,140 Sheryl Dr,Deltona,FL,32738,FORD MOTOR CREDIT COMPANY V. PALACIOS,https://www.westlaw.com/Document/I7AD9F064DD2611EAB1FAF5A0AEE61CE8/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad6404100000173e77943a1a4b25115%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D267%26alertGuid%3Di0ad606680000016d19c6dc1be05dfd3e&listSource=Alert&list=DocketAlertNext&rank=267&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad606680000016d19c6dc1be05dfd3e,"BANKING/FINANCE, COLLECTIONS",CIVDS2015777,CA SAN BERNARDINO SUPER. CT,2020-07-29
3,"PEPPER INTERNATIONAL, LLC.",,,,,,"BALBOA CAPITAL CORPORATION V. PEPPER INTERNATIONAL, LLC.",https://www.westlaw.com/Document/I5E855470DD1C11EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e76ecdb020a04e76%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D7%26alertGuid%3Di0ad715a600000172e2f6e8f7543ed38e&listSource=Alert&list=DocketAlertNext&rank=7&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad715a600000172e2f6e8f7543ed38e,"BANKING/FINANCE, COLLECTIONS",30-2020-01154276-CU-CL-CJC,CA ORANGE SUPER. CT.,2020-08-07
4,"VALENCIA 70 INVESTORS, LLC COMPANY , DOING BUSINESS AS BARZOTTO AND BARZOTTO CATERING",,,,,,"CHALLENGE DAIRY PRODUCTS, INC. V. VALENCIA 70 INVESTORS, LLC ET AL",https://www.westlaw.com/Document/I73A2B6BCDD2611EAB1FAF5A0AEE61CE8/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e76ecdb020a04e76%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D82%26alertGuid%3Di0ad715a600000172e2f6e8f7543ed38e&listSource=Alert&list=DocketAlertNext&rank=82&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad715a600000172e2f6e8f7543ed38e,"BANKING/FINANCE, COLLECTIONS",CGC-20-585934,CA SAN FRANCISCO SUPER. CT.,2020-08-12
5,"Uncommon Journeys, Incorporated",https://businesssearch.sos.ca.gov/,"883 ISLAND DR., STE. 214",ALAMEDA,CA,94502,"Chicago Tribune Company LLC v. Uncommon Journeys, Incorporat",https://www.westlaw.com/Document/I2474CFB1DD1811EAAF3CEDF8C55E6C34/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e76ecdb020a04e76%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D83%26alertGuid%3Di0ad715a600000172e2f6e8f7543ed38e&listSource=Alert&list=DocketAlertNext&rank=83&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad715a600000172e2f6e8f7543ed38e,"Banking/Finance, Collections",HG20070328,CA Alameda Super. Ct.,2020-08-11
6,"Rich Cortez & Sons, Inc.",https://businesssearch.sos.ca.gov/,3155 GOLDEN CREST COMMOM UNIT 2,LIVERMORE,CA,94551,"Commercial Collection Service, Inc. v. Rich Cortez & Sons, Inc.",https://www.westlaw.com/Document/I24748422DD1811EAAF3CEDF8C55E6C34/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e76ecdb020a04e76%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D197%26alertGuid%3Di0ad715a600000172e2f6e8f7543ed38e&listSource=Alert&list=DocketAlertNext&rank=197&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad715a600000172e2f6e8f7543ed38e,"Banking/Finance, Collections",MCV-253150,CA Sonoma Super. Ct.,2020-08-11
7,"Harbor Intermodal Inc., A California Corporation",,,,,,"Flexi-Van Leasing, Inc. v. Harbor Intermodal Inc., A Califor",https://www.westlaw.com/Document/I2474CF81DD1811EAAF3CEDF8C55E6C34/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e76ecdb020a04e76%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D218%26alertGuid%3Di0ad715a600000172e2f6e8f7543ed38e&listSource=Alert&list=DocketAlertNext&rank=218&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad715a600000172e2f6e8f7543ed38e,"Banking/Finance, Collections",HG20070358,CA Alameda Super. Ct.,2020-08-10
8,"HAVECO, INC.",https://businesssearch.sos.ca.gov/,"25 MAUCHLY, SUITE 316",IRVINE,CA,92618,"HERC RENTALS INC. V. HAVECO, INC.",https://www.westlaw.com/Document/I5E6BFF7CDD1C11EAA4A6DA07B08DE5CD/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e76ecdb020a04e76%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D228%26alertGuid%3Di0ad715a600000172e2f6e8f7543ed38e&listSource=Alert&list=DocketAlertNext&rank=228&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad715a600000172e2f6e8f7543ed38e,"BANKING/FINANCE, COLLECTIONS",30-2020-01154401-CL-CL-CJC,CA ORANGE SUPER. CT.,2020-08-10
9,"KYT PRODUCTIONS, INC.",,,,,,"ON DECK CAPITAL, INC. V. KYT PRODUCTIONS, INC.",https://www.westlaw.com/Document/I5E85545CDD1C11EAACFACD2D37FB36E9/View/FullText.html?navigationPath=Alert%2Fv1%2FlistNavigation%2FDocketAlertNext%2Fi0ad84c1900000173e76ecdb020a04e76%3FtransitionType%3DDocketAlert%26originationContext%3DSearch%2520Result%26contextData%3D%2528sc.DocketAlert%2529%26rank%3D396%26alertGuid%3Di0ad715a600000172e2f6e8f7543ed38e&listSource=Alert&list=DocketAlertNext&rank=396&originationContext=Search%20Result&transitionType=DocketAlert&contextData=%28sc.DocketAlert%29&VR=3.0&RS=cblt1.0&alertGuid=i0ad715a600000172e2f6e8f7543ed38e,"BANKING/FINANCE, COLLECTIONS",30-2020-01154195-CU-CL-CJC,CA ORANGE SUPER. CT.,2020-08-07
